1	01/07/2022 00:00    1	27.11	75.80
2	01/07/2022 00:01	1	27.11	75.80
3	01/07/2022 00:02	1	27.11	75.60
4	01/07/2022 00:03	1	27.11	75.60
5	01/07/2022 00:04	1	27.11	75.70
6	01/07/2022 00:05	1	27.11	75.70
7	01/07/2022 00:06	1	27.11	75.60
8	01/07/2022 00:07	1	27.09	75.80
9	01/07/2022 00:08	1	27.09	76.10
10  01/07/2022 00:09	1	27.06	76.10
11	01/07/2022 00:10	1	27.06	76.20
12	01/07/2022 00:11	1	27.04	76.00
13	01/07/2022 00:12	1	27.01	76.10
14	01/07/2022 00:13	1	27.01	76.20
15	01/07/2022 00:14	1	27.01	76.20
16	01/07/2022 00:15	1	26.99	76.10
17	01/07/2022 00:16	1	27.01	76.20
18	01/07/2022 00:17	1	26.99	76.50
19	01/07/2022 00:18	1	26.99	76.80
20	01/07/2022 00:19	1	26.99	77.00
21	01/07/2022 00:20	1	26.96	77.10
22	01/07/2022 00:21	1	26.96	77.00
23	01/07/2022 00:22	1	26.94	76.80
24	01/07/2022 00:23	1	26.94	76.70
25	01/07/2022 00:24	1	26.92	76.70
26	01/07/2022 00:25	1	26.92	76.60
27	01/07/2022 00:26	1	26.89	76.60
28	01/07/2022 00:27	1	26.87	76.70
29	01/07/2022 00:28	1	26.87	76.60
30	01/07/2022 00:29	1	26.84	76.60
31	01/07/2022 00:30	1	26.84	76.70
32	01/07/2022 00:31	1	26.82	76.80
33	01/07/2022 00:32	1	26.82	76.70
34	01/07/2022 00:33	1	26.79	76.80
35	01/07/2022 00:34	1	26.79	76.80
36	01/07/2022 00:35	1	26.77	76.80
37	01/07/2022 00:36	1	26.77	76.80
38	01/07/2022 00:37	1	26.74	76.80
39	01/07/2022 00:38	1	26.72	76.90
40	01/07/2022 00:39	1	26.72	77.00
41	01/07/2022 00:40	1	26.70	77.00
42	01/07/2022 00:41	1	26.70	77.00
43	01/07/2022 00:42	1	26.70	77.10
44	01/07/2022 00:43	1	26.67	77.20
45	01/07/2022 00:44	1	26.67	77.20
46	01/07/2022 00:45	1	26.65	77.30
47	01/07/2022 00:46	1	26.65	77.30
48	01/07/2022 00:47	1	26.65	77.30
49	01/07/2022 00:48	1	26.65	77.30
50	01/07/2022 00:49	1	26.65	77.40
